sentence,group,step,stl_formula,label,cosine_sim
"Monocyte chemotactic factor chemokine(C-C motif) ligand 2 (CCL2) was increased in the blood of infected patients as well as the transcripts of its receptor CCR2; this was associated with low counts of circulating inflammatory monocytes (Fig. 4I), suggesting a role for the CCL2/CCR2 axis in the monocyte chemo-attraction into the inflamed lungs.",0,raw,d_ccl2(t) > 0 and d_ccr2(t) > 0 and monocytes(t) < c(low),,0.627280
"Monocyte chemotactic factor chemokine(C-C motif) ligand 2 (CCL2) was increased in the blood of infected patients as well as the transcripts of its receptor CCR2; this was associated with low counts of circulating inflammatory monocytes (Fig. 4I), suggesting a role for the CCL2/CCR2 axis in the monocyte chemo-attraction into the inflamed lungs.",0,raw,d_ccl2(t) > d_c(low) and d_ccr2(t) > d_c(low) and monocytes(t) < c(low),,0.582866
"Monocyte chemotactic factor chemokine(C-C motif) ligand 2 (CCL2) was increased in the blood of infected patients as well as the transcripts of its receptor CCR2; this was associated with low counts of circulating inflammatory monocytes (Fig. 4I), suggesting a role for the CCL2/CCR2 axis in the monocyte chemo-attraction into the inflamed lungs.",0,consolidated,ccl2(t) > c(mid),1,0.355878
"Monocyte chemotactic factor chemokine(C-C motif) ligand 2 (CCL2) was increased in the blood of infected patients as well as the transcripts of its receptor CCR2; this was associated with low counts of circulating inflammatory monocytes (Fig. 4I), suggesting a role for the CCL2/CCR2 axis in the monocyte chemo-attraction into the inflamed lungs.",0,consolidated,ccr2(t) > c(mid),1,0.405169
"Monocyte chemotactic factor chemokine(C-C motif) ligand 2 (CCL2) was increased in the blood of infected patients as well as the transcripts of its receptor CCR2; this was associated with low counts of circulating inflammatory monocytes (Fig. 4I), suggesting a role for the CCL2/CCR2 axis in the monocyte chemo-attraction into the inflamed lungs.",0,consolidated,monocytes(t) < c(low),1,0.425056
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",1,raw,"globally[14,28](d_ip10(t) < 0) and eventually[28,28](ip10(t) = ip10(0))",,0.539441
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",1,raw,"globally[14,28](d_ip10(t) < 0) and eventually[28,28](ip10(t) = c(low))",,0.610132
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",1,raw,"globally[14,28](d_ip10(t) < 0) and eventually[28,28](ip10(t) = ip10(0))",,0.539441
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",1,raw,"globally[14,28](d_ip10(t) < 0) and eventually[28,28](ip10(t) = ip10(0))",,0.539441
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",1,raw,"globally[14,28](d_ip10(t) < 0) and eventually[28,28](ip10(t) = ip10(0))",,0.539441
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",1,raw,"globally[14,28](d_ip10(t) < 0) and eventually[28,28](ip10(t) = c(low))",,0.610132
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",1,raw,"globally[14,28](d_ip10(t) < 0) and eventually[28,28](ip10(t) = c(low))",,0.610132
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",1,raw,"globally[14,28](d_ip10(t) < 0) and eventually[28,28](ip10(t) = c(low))",,0.610132
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",1,raw,"globally[14,28](d_ip10(t) < 0) and eventually[28,28](ip10(t) = c(low))",,0.610132
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",1,raw,"globally[14,28](d_ip10(t) < 0) and eventually[28,28](ip10(t) = c(low))",,0.610132
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",1,raw,"globally[14,28](d_ip10(t) < 0) and eventually[28,28]globally(ip10(t) = ip10(0))",,0.539886
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",1,raw,"globally[14,28](d_ip10(t) < 0) and eventually[28,28](ip10(t) = c(low))",,0.610132
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",1,raw,"globally[14,28](d_ip10(t) < 0) and eventually[28,28](ip10(t) = c(low))",,0.610132
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",1,raw,"globally[14,28](d_ip10(t) < 0) and eventually[28,28](ip10(t) = c(low))",,0.610132
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",1,raw,"globally[14,28](d_ip10(t) < 0) and eventually[28,28](ip10(t) = ip10(0))",,0.539441
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",1,consolidated,"globally[14,28](d_ip10(t) < 0)",1,0.549888
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",1,consolidated,"eventually[28,28](ip10(t) = c(low))",1,0.648209
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,raw,"globally[0,7](ip10(t) > c(high))",,0.522767
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,raw,"globally[0,7](ip10(t) > c(high))",,0.522767
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,raw,"globally[0,7](ip10(t) > c(high))",,0.522767
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,raw,"globally[0,7](ip10(t) > c(high))",,0.522767
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,raw,"globally[0,7](ip10(t) > c(high))",,0.522767
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,raw,"globally[0,7](ip10(t) > c(high))",,0.522767
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,raw,"globally[0,7](ip10(t) > c(high))",,0.522767
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,raw,"globally[0,7](ip10(t) > c(high))",,0.522767
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,raw,"globally[0,7](ip10(t) > c(high))",,0.522767
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,raw,"globally[0,7](ip10(t) > c(low))",,0.503890
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,raw,"globally[0,7](ip10(t) > c(low))",,0.503890
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,raw,"globally[0,7](ip10(t) > c(low))",,0.503890
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,raw,"globally[0,7](ip10(t) > c(high))",,0.522767
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,raw,"globally[0,7](ip10(t) > c(high))",,0.522767
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,raw,"globally[0,7](ip10(t) > c(high))",,0.522767
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,raw,"globally[0,7](ip10(t) > c(high))",,0.522767
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,raw,"globally[0,7](ip10(t) > c(high))",,0.522767
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,raw,"globally[0,7](ip10(t) > c(high))",,0.522767
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",2,consolidated,"globally[0,7](ip10(t) > c(high))",1,0.522767
"Significantly higher levels of MCP-1 in severe cases were observed when compared with mild cases at early an time point of the infection (week 1 and 2; P = 0.047 and 8.62 × 10–5, respectively) but not at later time points (week 3 and 4; P = 0.136 and 0.030, respectively, Supplemental Table 1 and Figure 2).",1,raw,"globally[0,14](mcp1(t) > c(high)) and eventually[14,28](mcp1(t) < c(high))",,0.600649
"Significantly higher levels of MCP-1 in severe cases were observed when compared with mild cases at early an time point of the infection (week 1 and 2; P = 0.047 and 8.62 × 10–5, respectively) but not at later time points (week 3 and 4; P = 0.136 and 0.030, respectively, Supplemental Table 1 and Figure 2).",1,raw,"globally[7,14](mcp1(t) > c(high)) and globally[21,28](mcp1(t) < c(high))",,0.616855
"Significantly higher levels of MCP-1 in severe cases were observed when compared with mild cases at early an time point of the infection (week 1 and 2; P = 0.047 and 8.62 × 10–5, respectively) but not at later time points (week 3 and 4; P = 0.136 and 0.030, respectively, Supplemental Table 1 and Figure 2).",1,raw,"globally[0,14](mcp1(t) > c(high)) and globally[14,28](mcp1(t) < c(high))",,0.603259
"Significantly higher levels of MCP-1 in severe cases were observed when compared with mild cases at early an time point of the infection (week 1 and 2; P = 0.047 and 8.62 × 10–5, respectively) but not at later time points (week 3 and 4; P = 0.136 and 0.030, respectively, Supplemental Table 1 and Figure 2).",1,consolidated,"globally[7,14](mcp1(t) > c(high))",1,0.593460
"Significantly higher levels of MCP-1 in severe cases were observed when compared with mild cases at early an time point of the infection (week 1 and 2; P = 0.047 and 8.62 × 10–5, respectively) but not at later time points (week 3 and 4; P = 0.136 and 0.030, respectively, Supplemental Table 1 and Figure 2).",1,consolidated,"globally[21,28](mcp1(t) < c(high))",1,0.596864
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,raw,"globally[0,28](il1ra(t) > c(high))",,0.551671
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,raw,"globally[0,28](il1ra(t) > c(high))",,0.551671
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,raw,"globally[0,28](il1ra(t) > c(high))",,0.551671
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,raw,"globally[0,28](il1ra(t) > c(high))",,0.551671
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,raw,"globally[0,28](il1ra(t) > c(high))",,0.551671
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,raw,"globally[0,28](il1ra(t) > c(high))",,0.551671
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,raw,"globally[0,28](il1ra(t) > c(high))",,0.551671
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,raw,"globally[0,28](il1ra(t) > c(high))",,0.551671
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,raw,"globally[0,28](il1ra(t) > c(high))",,0.551671
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,raw,"globally[0,28](il1ra(t) > c(high))",,0.551671
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,raw,"globally[0,28](il1ra(t) > c(high))",,0.551671
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,raw,"globally[0,28](il1ra(t) > c(high))",,0.551671
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,raw,"globally[0,28](il1ra(t) > c(high))",,0.551671
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,raw,"globally[0,28](il1ra(t) > c(high))",,0.551671
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,raw,"globally[0,28](il1ra(t) > c(high))",,0.551671
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,raw,"globally[0,28](il1ra(t) > c(high))",,0.551671
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,raw,"globally[0,28](il1ra(t) > c(high))",,0.551671
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,raw,"globally[0,28](il1ra(t) > c(high))",,0.551671
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,2,consolidated,"globally[0,28](il1ra(t) > c(high))",1,0.551671
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,raw,"globally[0,7](rantes(t) > c(high)) and globally[14,28](rantes(t) > c(high))",,0.518140
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,raw,"globally[0,7](rantes(t) > c(high)) and globally[14,21](rantes(t) > c(high)) and globally[21,28](rantes(t) > c(high))",,0.527402
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,raw,"globally[0,7](rantes(t) > c(high)) and globally[14,28](rantes(t) > c(high))",,0.518140
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,raw,"globally[0,28](rantes(t) = c(high))",,0.478285
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,raw,"globally[0,7](rantes(t) > c(high)) and globally[14,28](rantes(t) > c(high))",,0.518140
