sentence,stl_formula,filtered_label,consolidated_label,changed_from_0_to_1
"Monocyte chemotactic factor chemokine(C-C motif) ligand 2 (CCL2) was increased in the blood of infected patients as well as the transcripts of its receptor CCR2; this was associated with low counts of circulating inflammatory monocytes (Fig. 4I), suggesting a role for the CCL2/CCR2 axis in the monocyte chemo-attraction into the inflamed lungs.",ccr2(t) > c(mid) implies monocytes(t) < c(low),0,1,1
"Monocyte chemotactic factor chemokine(C-C motif) ligand 2 (CCL2) was increased in the blood of infected patients as well as the transcripts of its receptor CCR2; this was associated with low counts of circulating inflammatory monocytes (Fig. 4I), suggesting a role for the CCL2/CCR2 axis in the monocyte chemo-attraction into the inflamed lungs.",ccl2(t) > c(mid),0,1,1
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.","globally[14,28](d_ip10(t) < 0) and ip10(t)=c(mid)",0,0,0
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.","eventually[14,28](d_ip10(t) < 0)",0,1,1
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.","eventually[28,28](ip10(t) = c(low))",0,1,1
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",ip10(t)=c(mid),0,0,0
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.","eventually[14,28](d_ip10(t) < 0) and ip10(t) = c(mid)",0,0,0
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.","globally[14,28](d_ip10(t) < 0) and ip10(t) = c(mid)",0,0,0
"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.","eventually[14,28](d_ip10(t) < 0) and eventually[28,28](ip10(t) = c(low))",1,0,0
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).","globally[1,7](ip10(t) > c(high))",1,0,0
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).","globally[0,7](ip10(t) > c(high))",1,0,0
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).","globally[0,7](ip10(t) > c(high) and ip10(t) > c(high))",1,0,0
"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).","eventually[0,7]globally(ip10(t) > c(mid))",1,1,0
"Significantly higher levels of MCP-1 in severe cases were observed when compared with mild cases at early an time point of the infection (week 1 and 2; P = 0.047 and 8.62 × 10–5, respectively) but not at later time points (week 3 and 4; P = 0.136 and 0.030, respectively, Supplemental Table 1 and Figure 2).","eventually[7,14](mcp1(t) > c(high))",0,1,1
"Significantly higher levels of MCP-1 in severe cases were observed when compared with mild cases at early an time point of the infection (week 1 and 2; P = 0.047 and 8.62 × 10–5, respectively) but not at later time points (week 3 and 4; P = 0.136 and 0.030, respectively, Supplemental Table 1 and Figure 2).","eventually[7,14](mcp1(t) > c(high)) and globally[21,28](mcp1(t) = c(mid))",1,0,0
"Significantly higher levels of MCP-1 in severe cases were observed when compared with mild cases at early an time point of the infection (week 1 and 2; P = 0.047 and 8.62 × 10–5, respectively) but not at later time points (week 3 and 4; P = 0.136 and 0.030, respectively, Supplemental Table 1 and Figure 2).","globally[21,28](mcp1(t) = c(mid))",0,1,1
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,"globally[0,28](il1ra(t) > c(high))",1,0,0
We also found that IL-1 receptor antagonist (IL-1RA) levels were elevated in both severe and mild cases and remained at a high level during the 4 weeks of follow-up.,"globally[0,28](il1ra(t) > c(mid))",1,1,0
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).","globally[21,28](rantes(t) > c(mid))",0,1,1
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).","rantes(t) > c(high) and globally[21,28](rantes(t) = c(high))",0,0,0
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).","globally[0,7](rantes(t) > c(mid))",0,1,1
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).","globally[0,7](rantes(t) > c(mid)) and globally[21,28](rantes(t) > c(mid))",1,0,0
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).","globally[0,inf](d_rantes(t) = 0)",1,1,0
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).","globally[0,inf](d_rantes(t) < 0)",0,0,0
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).","globally[0,inf](d_rantes(t) < 0) and rantes(t) < c(low)",1,0,0
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).","globally[0,inf](rantes(t) < c(low))",1,0,0
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).",rantes(t) < c(low),0,1,1
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",il6(t) > c(mid) and il8(t) > c(mid) and tnfα(t) > c(mid),1,0,0
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",tnfα(t) > c(mid),0,1,1
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",il8(t) > c(mid),0,1,1
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),1,0,0
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",il6(t) > c(mid),0,1,1
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",il1β(t) < c(low),1,1,0
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",il1β(t) = c(low),1,1,0
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.","eventually[0,inf](igg(t) > c(high))",0,1,1
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.","globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",1,0,0
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.","globally[0,inf](igg(t) = c(low)) and eventually[0,inf](igg(t) > c(high))",1,0,0
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.","globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) = c(high))",1,0,0
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.","globally[0,inf](igg(t)<c(low))",0,1,1
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.","globally[0,inf](igg(t)<c(low)) and eventually[0,inf](igg(t)=c(high))",1,0,0
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.","globally[0,inf](igg(t) = c(low))",0,1,1
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.","eventually[0,inf](igg(t) = c(high))",0,1,1
"IFNα, IL-12 and IL-8 were undetectable in all the plasma samples tested.",il12(t) = c(low),0,1,1
"IFNα, IL-12 and IL-8 were undetectable in all the plasma samples tested.",ifnα(t)=c(low) and il12(t)=c(low) and il8(t)=c(low),1,0,0
"IFNα, IL-12 and IL-8 were undetectable in all the plasma samples tested.",il8(t) = c(low),0,1,1
"IFNα, IL-12 and IL-8 were undetectable in all the plasma samples tested.",ifnα(t) = c(low) and il12(t) = c(low) and il8(t) = c(low),1,0,0
"IFNα, IL-12 and IL-8 were undetectable in all the plasma samples tested.",ifnα(t) = c(low),0,1,1
"Finally, IL-10 was barely detectable in survivors, while high and significant levels were found in all patients who died.",il10(t) < c(low) and il10(t) > c(high),1,0,0
"Finally, IL-10 was barely detectable in survivors, while high and significant levels were found in all patients who died.",il10(t)=c(low) implies il10(t)=c(high),0,0,0
"Finally, IL-10 was barely detectable in survivors, while high and significant levels were found in all patients who died.",il10(t) = c(low) and il10(t) = c(high),1,0,0
"Finally, IL-10 was barely detectable in survivors, while high and significant levels were found in all patients who died.",il10(t) < c(low) implies il10(t) = c(high),0,0,0
"In fatalities, neopterin plasma concentrations increased markedly during the 5 days before death, and were significantly higher than those measured in survivors.","eventually[0,5](d_neopterin(t) > d_c(high) and neopterin(t) > c(high))",1,1,0
"High levels of IL-6 and, particularly, detection of IL-1b in the plasma of patients during the symptomatic phase could represent markers of non-fatal Ebola virus infection.",il1β(t) > c(low) implies virus(t) < c(high),0,1,1
"High levels of IL-6 and, particularly, detection of IL-1b in the plasma of patients during the symptomatic phase could represent markers of non-fatal Ebola virus infection.",il6(t) > c(high) and il1β(t) > c(low),1,0,0
"High levels of IL-6 and, particularly, detection of IL-1b in the plasma of patients during the symptomatic phase could represent markers of non-fatal Ebola virus infection.",il6(t) > c(high) and il1β(t) > c(low) implies virus(t) < c(high),1,0,0
"High levels of IL-6 and, particularly, detection of IL-1b in the plasma of patients during the symptomatic phase could represent markers of non-fatal Ebola virus infection.",il6(t) > c(high),0,1,1
"High levels of IL-6 and, particularly, detection of IL-1b in the plasma of patients during the symptomatic phase could represent markers of non-fatal Ebola virus infection.",il1β(t) > c(low),0,1,1
"Elevated plasma concentrations of IL-1RA or neopterin from a few days after disease onset are potential markers for fatal outcome, while high levels of sTNF-RI are only significant the last days before death.","eventually[3,inf](il1ra(t) > c(mid)) implies eventually[0,3](stnfri(t) > c(high))",0,0,0
"The earliest major transcriptional response apparent in all animals by day 2 or 3 was an increase in transcript levels of a large set of interferon (IFN) regulated genes (Figure 1), including the following: myxovirus resistance protein (MX)1 and MX2, IFN-γ inducible protein-10, 2'-5' oligoadenylate synthetase-1, -2, and -3, guanylate binding protein-1 and -2, signal transducer and activators of transcription (STAT)-1, double-stranded DNA activated protein kinase, and IFN-γ receptors 1 and 2.","eventually[2,3](mx1(t) > c(low) and mx2(t) > c(low))",1,1,0
"The earliest major transcriptional response apparent in all animals by day 2 or 3 was an increase in transcript levels of a large set of interferon (IFN) regulated genes (Figure 1), including the following: myxovirus resistance protein (MX)1 and MX2, IFN-γ inducible protein-10, 2'-5' oligoadenylate synthetase-1, -2, and -3, guanylate binding protein-1 and -2, signal transducer and activators of transcription (STAT)-1, double-stranded DNA activated protein kinase, and IFN-γ receptors 1 and 2.","eventually[2,3](d_mx1(t) > 0 and d_mx2(t) > 0)",1,1,0
"The earliest major transcriptional response apparent in all animals by day 2 or 3 was an increase in transcript levels of a large set of interferon (IFN) regulated genes (Figure 1), including the following: myxovirus resistance protein (MX)1 and MX2, IFN-γ inducible protein-10, 2'-5' oligoadenylate synthetase-1, -2, and -3, guanylate binding protein-1 and -2, signal transducer and activators of transcription (STAT)-1, double-stranded DNA activated protein kinase, and IFN-γ receptors 1 and 2.","eventually[2,3](d_ifnα(t) > d_c(low) and d_ifnβ(t) > d_c(low))",1,1,0
"We noted an increase in TNF-α converting enzyme/α-disintegrin and metalloproteinase (ADAM)-17 at days 4 to 6 after infection, peaking at an average 3.1-fold increase above baseline at day 5 after infection.","eventually[5,5](adam17(t) > c(mid))",0,1,1
"We noted an increase in TNF-α converting enzyme/α-disintegrin and metalloproteinase (ADAM)-17 at days 4 to 6 after infection, peaking at an average 3.1-fold increase above baseline at day 5 after infection.","eventually[4,6](d_adam17(t) > d_c(low)) and eventually[5,5](adam17(t) > c(mid))",1,0,0
"We noted an increase in TNF-α converting enzyme/α-disintegrin and metalloproteinase (ADAM)-17 at days 4 to 6 after infection, peaking at an average 3.1-fold increase above baseline at day 5 after infection.","eventually[4,6](d_adam17(t) > d_c(low))",0,1,1
"We noted an increase in TNF-α converting enzyme/α-disintegrin and metalloproteinase (ADAM)-17 at days 4 to 6 after infection, peaking at an average 3.1-fold increase above baseline at day 5 after infection.","eventually[4,6](adam17(t) > c(mid) and d_adam17(t) > d_c(high))",1,1,0
"We noted an increase in TNF-α converting enzyme/α-disintegrin and metalloproteinase (ADAM)-17 at days 4 to 6 after infection, peaking at an average 3.1-fold increase above baseline at day 5 after infection.","eventually[4,6](d_adam17(t) > d_c(high))",1,0,0
"IL-1β, which was highly induced at later stages of infection (Figure 2), was initially repressed on the first day after infection.","il1β(t) < c(low) and eventually[2,inf](il1β(t) > c(high))",0,0,0
"IL-1β, which was highly induced at later stages of infection (Figure 2), was initially repressed on the first day after infection.","il1β(t) = c(low) and eventually[2,inf](il1β(t) = c(high))",0,0,0
"IL-1β, which was highly induced at later stages of infection (Figure 2), was initially repressed on the first day after infection.","eventually[2,inf](il1β(t) = c(high))",0,1,1
"IL-1β, which was highly induced at later stages of infection (Figure 2), was initially repressed on the first day after infection.","globally[0,1](il1β(t) < c(mid)) and eventually[1,inf](il1β(t) > c(high))",1,0,0
"IL-1β, which was highly induced at later stages of infection (Figure 2), was initially repressed on the first day after infection.","eventually[1,inf](il1β(t) > c(high))",0,1,1
"IL-1β, which was highly induced at later stages of infection (Figure 2), was initially repressed on the first day after infection.","d_il1β(t) < 0 and eventually[1,inf](il1β(t) > c(high))",0,0,0
"IL-1β, which was highly induced at later stages of infection (Figure 2), was initially repressed on the first day after infection.",d_il1β(t) < 0,0,0,0
"IL-1β, which was highly induced at later stages of infection (Figure 2), was initially repressed on the first day after infection.","globally[0,1](il1β(t) < c(mid))",0,1,1
"A significant increase in cytokine and chemokine transcripts was observed at days 4 to 6 after infection (Figure 2a). Transcripts encoding the proinflammatory cytokines IL-1β, IL-6, IL-8, and tumor necrosis factor (TNF)-α were markedly increased in late-stage animals (average fold increase at day 5 after infection: IL-1β, 3.9; IL-6, 4.3; IL-8, 11.3; and TNF-α, 5.2; Figure 2b).","eventually[4,6](d_il1β(t) > d_c(high) and d_il6(t) > d_c(high))",1,1,0
"Transcripts for several other cytokines (IL-2, IL-4, IL-10, and IL-12) were detected on the array, but their levels did not change significantly during the course of infection.","globally[0,inf](d_il2(t)=0 and d_il4(t)=0)",1,1,0
"Transcripts for several other cytokines (IL-2, IL-4, IL-10, and IL-12) were detected on the array, but their levels did not change significantly during the course of infection.",d_il2(t) = 0 and d_il4(t) = 0 and d_il10(t) = 0 and d_il12(t) = 0,1,0,0
"Transcripts for several other cytokines (IL-2, IL-4, IL-10, and IL-12) were detected on the array, but their levels did not change significantly during the course of infection.","globally[0,inf](d_il2(t) = 0 and d_il4(t) = 0)",1,0,0
"Transcripts for several other cytokines (IL-2, IL-4, IL-10, and IL-12) were detected on the array, but their levels did not change significantly during the course of infection.",d_il10(t) = 0,0,1,1
"Transcripts for several other cytokines (IL-2, IL-4, IL-10, and IL-12) were detected on the array, but their levels did not change significantly during the course of infection.",d_il12(t) = 0,0,1,1
"Transcripts for several other cytokines (IL-2, IL-4, IL-10, and IL-12) were detected on the array, but their levels did not change significantly during the course of infection.",d_il4(t) = 0,0,1,1
"Transcripts for several other cytokines (IL-2, IL-4, IL-10, and IL-12) were detected on the array, but their levels did not change significantly during the course of infection.",d_il2(t) = 0,0,1,1
"We first examined the relative cytokine and chemokine levels in serum samples collected 6 days following EBOV challenge by using a multiplex-based bead assay. Quantitative analysis revealed that multiple Th1 cytokines, including gamma interferon (IFN-γ), interleukin-2 (IL-2), and tumor necrosis factor alpha (TNF-α), were significantly reduced in Tim-1/ mice compared to EBOV-infected wild-type mice (Fig. 2A to C), while IL-12p40 was increased (Fig. 2B).",tnfα(t) < c(mid),0,0,0
"We first examined the relative cytokine and chemokine levels in serum samples collected 6 days following EBOV challenge by using a multiplex-based bead assay. Quantitative analysis revealed that multiple Th1 cytokines, including gamma interferon (IFN-γ), interleukin-2 (IL-2), and tumor necrosis factor alpha (TNF-α), were significantly reduced in Tim-1/ mice compared to EBOV-infected wild-type mice (Fig. 2A to C), while IL-12p40 was increased (Fig. 2B).",ifnγ(t) < c(mid),0,0,0
"We first examined the relative cytokine and chemokine levels in serum samples collected 6 days following EBOV challenge by using a multiplex-based bead assay. Quantitative analysis revealed that multiple Th1 cytokines, including gamma interferon (IFN-γ), interleukin-2 (IL-2), and tumor necrosis factor alpha (TNF-α), were significantly reduced in Tim-1/ mice compared to EBOV-infected wild-type mice (Fig. 2A to C), while IL-12p40 was increased (Fig. 2B).",il2(t) < c(mid),0,0,0
"We first examined the relative cytokine and chemokine levels in serum samples collected 6 days following EBOV challenge by using a multiplex-based bead assay. Quantitative analysis revealed that multiple Th1 cytokines, including gamma interferon (IFN-γ), interleukin-2 (IL-2), and tumor necrosis factor alpha (TNF-α), were significantly reduced in Tim-1/ mice compared to EBOV-infected wild-type mice (Fig. 2A to C), while IL-12p40 was increased (Fig. 2B).","globally[6,6](ifnγ(t) < c(mid) and il2(t) < c(mid))",1,1,0
"We first examined the relative cytokine and chemokine levels in serum samples collected 6 days following EBOV challenge by using a multiplex-based bead assay. Quantitative analysis revealed that multiple Th1 cytokines, including gamma interferon (IFN-γ), interleukin-2 (IL-2), and tumor necrosis factor alpha (TNF-α), were significantly reduced in Tim-1/ mice compared to EBOV-infected wild-type mice (Fig. 2A to C), while IL-12p40 was increased (Fig. 2B).","globally[6,6](ifnγ(t) < c(mid) and il2(t) < c(low)) and il12(t) > c(mid)",0,0,0
"We first examined the relative cytokine and chemokine levels in serum samples collected 6 days following EBOV challenge by using a multiplex-based bead assay. Quantitative analysis revealed that multiple Th1 cytokines, including gamma interferon (IFN-γ), interleukin-2 (IL-2), and tumor necrosis factor alpha (TNF-α), were significantly reduced in Tim-1/ mice compared to EBOV-infected wild-type mice (Fig. 2A to C), while IL-12p40 was increased (Fig. 2B).",il12(t) > c(mid),0,0,0
"We first examined the relative cytokine and chemokine levels in serum samples collected 6 days following EBOV challenge by using a multiplex-based bead assay. Quantitative analysis revealed that multiple Th1 cytokines, including gamma interferon (IFN-γ), interleukin-2 (IL-2), and tumor necrosis factor alpha (TNF-α), were significantly reduced in Tim-1/ mice compared to EBOV-infected wild-type mice (Fig. 2A to C), while IL-12p40 was increased (Fig. 2B).",ifnγ(t) < c(mid) and il2(t) < c(mid) and tnfα(t) < c(mid) and il12(t) > c(mid),0,0,0
"Flow cytometry analysis demonstrated that at day 6, gated CD4 T cells from Tim-1/ mice appeared to produce elevated levels of IL-2, IFN-γ, and TNF-α compared to wild-type, EBOV-infected mice (Fig. 2D).",il2(t) > c(mid) and ifnγ(t) > c(mid) and tnfα(t) > c(mid),0,0,0
"Flow cytometry analysis demonstrated that at day 6, gated CD4 T cells from Tim-1/ mice appeared to produce elevated levels of IL-2, IFN-γ, and TNF-α compared to wild-type, EBOV-infected mice (Fig. 2D).",tnfα(t) > c(mid),0,0,0
"Flow cytometry analysis demonstrated that at day 6, gated CD4 T cells from Tim-1/ mice appeared to produce elevated levels of IL-2, IFN-γ, and TNF-α compared to wild-type, EBOV-infected mice (Fig. 2D).",il2(t) > c(mid),0,0,0
"Flow cytometry analysis demonstrated that at day 6, gated CD4 T cells from Tim-1/ mice appeared to produce elevated levels of IL-2, IFN-γ, and TNF-α compared to wild-type, EBOV-infected mice (Fig. 2D).",ifnγ(t) > c(mid),0,0,0
The initial innate immune response is restricted due to inhibition of the interferon (IFN) response and allows extensive virus replication and spread during a clinically silent latent period of 10–14 days.,ifn(t) < c(low),0,0,0
The initial innate immune response is restricted due to inhibition of the interferon (IFN) response and allows extensive virus replication and spread during a clinically silent latent period of 10–14 days.,"globally[0,14](ifn(t) < c(mid) and virus(t) > c(mid))",1,1,0
The initial innate immune response is restricted due to inhibition of the interferon (IFN) response and allows extensive virus replication and spread during a clinically silent latent period of 10–14 days.,"eventually[10,14](virus(t) > c(high))",0,1,1
The initial innate immune response is restricted due to inhibition of the interferon (IFN) response and allows extensive virus replication and spread during a clinically silent latent period of 10–14 days.,"ifn(t) < c(low) and eventually[10,14](virus(t) > c(high))",0,0,0
The initial innate immune response is restricted due to inhibition of the interferon (IFN) response and allows extensive virus replication and spread during a clinically silent latent period of 10–14 days.,"globally[10,14](ifn(t) < c(low) and virus(t) > c(high))",1,1,0
The initial innate immune response is restricted due to inhibition of the interferon (IFN) response and allows extensive virus replication and spread during a clinically silent latent period of 10–14 days.,"ifn(t) < c(low) and eventually[10,14]globally(virus(t) > c(high))",0,0,0
"After an initial peak at 7–10 days (during the viremia when infectious virus can be recovered), there is a period of rapid decline coincident with clearance of infectious virus (10–14 days), followed by a rebound with up to a 10-fold increase in RNA levels (14–24 days) and then a slow decline (24–60 days) to an undetectable level.","globally[10,14](d_virus(t) < -d_c(high))",0,1,1
"After an initial peak at 7–10 days (during the viremia when infectious virus can be recovered), there is a period of rapid decline coincident with clearance of infectious virus (10–14 days), followed by a rebound with up to a 10-fold increase in RNA levels (14–24 days) and then a slow decline (24–60 days) to an undetectable level.","eventually[7,10](virus(t) > c(mid)) and globally[10,14](d_virus(t) < -d_c(high)) and eventually[14,24](virus(t) > c(high)) and globally[24,60](d_virus(t) < -d_c(low))",1,0,0
"After an initial peak at 7–10 days (during the viremia when infectious virus can be recovered), there is a period of rapid decline coincident with clearance of infectious virus (10–14 days), followed by a rebound with up to a 10-fold increase in RNA levels (14–24 days) and then a slow decline (24–60 days) to an undetectable level.","eventually[7,10](virus(t) > c(mid))",0,1,1
